gene	conMean	treatMean	logFC	pValue	fdr
APC	3.35194615384615	2.00449826732673	-0.741757803124568	2.40342421518817e-15	1.31662329902732e-14
TP53	12.9466794871795	22.1751056930693	0.776358852178697	3.62936737298474e-08	8.0779489956856e-08
KRAS	11.9371692307692	8.57371905940594	-0.477467708477281	8.32972872821509e-13	3.18133066685586e-12
FAT4	0.959935897435897	0.585168564356436	-0.714085799790724	5.01040652634609e-06	9.01762325040386e-06
FBXW7	1.51631282051282	1.72178712871287	0.183339370592751	0.204634706112421	0.223001116439993
SOX9	18.5973615384615	73.9530655940594	1.99151199641767	3.26219380767304e-23	2.65379466254202e-21
AMER1	1.10682820512821	2.12865866336634	0.94351331447428	2.63753616571162e-10	7.32298863756452e-10
SDK1	1.08603076923077	0.468393069306931	-1.21327334398259	4.0641595065112e-12	1.37758073272786e-11
RNF43	3.6393358974359	22.2219611386139	2.61023902553395	1.11505998442464e-20	2.18578625862517e-19
MDN1	2.26029743589744	3.75795643564356	0.733435710801723	5.74571770734673e-06	1.02841393947779e-05
DMD	2.60230256410256	0.800420297029703	-1.70095905421624	3.59330817130219e-11	1.10100045098092e-10
DST	4.41170256410256	2.67521410891089	-0.721681166830212	1.49686393434984e-13	6.22863841735854e-13
MUC5B	17.1025384615385	16.6087366336634	-0.0422681375758485	0.000390083302217107	0.000577493660334152
SACS	0.487028205128205	0.850374752475248	0.804093438940194	0.000540962624160281	0.000792924495052952
ARID1A	7.59906666666667	7.20225222772277	-0.0773741100363834	0.106195732783037	0.121847995231313
KMT2B	5.44477948717949	8.0519952970297	0.564472708442625	2.16378328331186e-08	4.96540959372129e-08
SYNE2	5.18258717948718	4.02865495049505	-0.363374234336155	5.83553704832734e-06	1.04334272281633e-05
TRPS1	0.731076923076923	0.505543069306931	-0.532189206357763	2.13873705220531e-06	4.02745970363199e-06
KMT2D	4.88051282051282	5.52981633663366	0.180198817493965	0.334743351467723	0.355269036423996
BRAF	0.871997435897436	1.14783465346535	0.396519037676297	0.00991368227848315	0.0127607286923197
KIAA1109	4.01294615384615	2.96581658415842	-0.436232418456624	3.01986583993366e-10	8.32766393486791e-10
ANK3	2.43526923076923	0.889426237623762	-1.45313440882275	3.01518092986778e-20	4.80950918911263e-19
PCDH17	0.416789743589744	0.875428712871287	1.07066992714172	8.05485135302307e-08	1.72892389859743e-07
CACNA1H	7.16947179487179	2.20928267326733	-1.69828881300626	6.94678930006362e-09	1.67195653716028e-08
FRY	1.04983076923077	0.831698514851485	-0.336024225933823	0.015201042972736	0.0190834081146925
HERC2	4.13561282051282	4.50047846534653	0.121977263076825	0.793870611316565	0.801257744796558
TSHZ3	1.74294871794872	0.731806930693069	-1.25199513814966	6.30937205603645e-10	1.66645265181352e-09
MACF1	3.71971538461538	4.06060544554455	0.126502615356748	0.986938085803101	0.9875450587956
ACVR2A	2.95672820512821	2.19124678217822	-0.432249658562737	1.77156267937346e-09	4.44119026092545e-09
SMAD4	4.92359230769231	3.65398985148515	-0.430238679030976	1.12084851128299e-10	3.23911283811265e-10
MXRA5	4.6236641025641	10.0658215346535	1.12235642579727	0.0145021124923088	0.0182623351586582
COL12A1	5.02058974358974	19.9042133663366	1.98714511043971	2.06968841724445e-13	8.4184576371418e-13
FCGBP	314.89368974359	49.489500990099	-2.66967044664576	7.05960445614168e-20	1.05375930735252e-18
COL11A1	0.051925641025641	4.68324183168317	6.49491660579138	4.80815172008522e-24	9.77857856072332e-22
BMPR2	6.34150512820513	5.94458415841584	-0.093249405663296	0.00136669646772513	0.00192022033936856
AHNAK2	3.27296153846154	1.86673712871287	-0.810077865358384	0.0421516177229595	0.050575749765661
PRKDC	8.03197692307692	20.9693410891089	1.38445449958477	1.23995950469599e-17	1.00368861400019e-16
TCF7L2	13.3990025641026	9.10169826732673	-0.557917943870407	1.27127226038973e-11	4.0556077797139e-11
APOB	12.6111205128205	0.129790099009901	-6.60237232420658	1.2131718917801e-05	2.10429708734139e-05
AKAP9	7.03472307692308	3.64746014851485	-0.947601417036528	5.3823433751393e-16	3.20771892723503e-15
COL6A3	17.4736307692308	25.4648591584158	0.543328327280222	0.00488420042511715	0.00643970347784895
VCAN	2.57269487179487	7.28117450495049	1.50089082622173	1.21054912247589e-07	2.56453570607848e-07
LRP1	25.8813128205128	19.639699009901	-0.398137979726098	0.000120075306434118	0.000192096876665005
CHD7	1.83688717948718	4.4344202970297	1.2714824964886	1.88896893303064e-16	1.18662256912774e-15
IGSF9B	0.895892307692308	0.490344059405941	-0.869530921556228	0.111247323263496	0.127195724088153
MYCBP2	2.5362641025641	3.69713465346535	0.543702607005653	0.000664202076424644	0.00096229454883606
DYSF	2.9823358974359	2.27369752475248	-0.391402414103932	0.236161599956055	0.25581552804827
HECTD4	2.88903846153846	2.75624108910891	-0.0678873240506548	0.082791279936491	0.0964909831351511
TNXB	7.12814871794872	0.498486386138614	-3.83790142710598	3.67093905141137e-23	2.84410373173633e-21
VWF	15.4312846153846	10.4454878712871	-0.562978290526984	0.000219579468605512	0.000337352025893454
PTPRS	2.26773846153846	1.28675024752475	-0.817522203670024	1.25945753672724e-09	3.22698805079562e-09
RNF213	6.18005128205128	9.3903245049505	0.603556204832337	0.000593161010536094	0.000866313253269502
CNOT1	19.5215692307692	22.5086101485149	0.205407948839406	0.0995654032868377	0.114888589466443
MAP3K4	3.375	4.1315047029703	0.291779807848132	1.19211072227212e-05	2.0699724067628e-05
MBD6	10.4138923076923	10.7992594059406	0.0524229856163503	0.655628097314652	0.670042031614911
CELSR1	0.5462	3.15142079207921	2.52850118322417	1.57463896165137e-20	2.78471477239867e-19
KMT2A	1.88305128205128	2.05083836633663	0.1231415024105	0.69825649447229	0.711819120618055
ASH1L	5.4942	5.00945717821782	-0.133255146070652	0.000598919731077515	0.00087237495793501
FAT1	20.3729307692308	33.0076128712871	0.696145270199565	4.39536253659759e-05	7.23811219336465e-05
PXDN	4.4667282051282	5.91577623762376	0.405349012874815	0.0475978933109198	0.0567338992064956
CREBBP	7.21956153846154	6.92203910891089	-0.0607141287666435	0.132865938267152	0.149600610076579
MTOR	6.06583076923077	5.86564727722772	-0.0484149295507996	0.171723842041077	0.190323358992393
TRIO	5.3627641025641	6.50957772277228	0.279587165152483	0.0512347968491594	0.0609349521005719
MAP1B	2.81841794871795	1.21398440594059	-1.21513567780113	5.02552376320188e-11	1.51698092072903e-10
LAMA5	4.94028717948718	8.17667475247525	0.726919346441425	0.000316927137648623	0.00047612230189687
DOCK2	2.27252307692308	0.96972400990099	-1.22864883477813	4.14406180214373e-14	1.85740731462475e-13
NFASC	1.44661282051282	0.613561633663366	-1.23739866434015	1.23619338525894e-12	4.58151853716696e-12
COL5A1	7.98775128205128	24.2908339108911	1.60455070213882	5.06999654361858e-11	1.5275711808273e-10
LAMA2	2.06715384615385	1.17897995049505	-0.810106579767848	5.16741846167213e-10	1.38507246081393e-09
ADAMTS2	1.16725384615385	5.97977128712871	2.35697196328861	2.16866005431725e-14	1.01391089321097e-13
BCL9L	4.32716153846154	4.73081485148515	0.128667720209456	0.520604223116039	0.539848993632757
DCHS1	2.77489743589744	2.34474504950495	-0.243003385295521	0.18008562661196	0.198778368044545
SPEG	2.31863076923077	0.352245792079208	-2.71861871870026	1.09671388757068e-13	4.67108244784685e-13
MEGF8	5.67929487179487	3.99038366336634	-0.509184355248758	1.13489119213952e-07	2.41684289216099e-07
DNAH1	0.810125641025641	1.11191014851485	0.456822635532736	0.0533000179247535	0.0632524647436717
FLNC	46.0155025641026	4.75615049504951	-3.27425371422135	5.34453588057222e-11	1.60731236186525e-10
COL7A1	0.405812820512821	3.58741608910891	3.14405873823914	2.179513648638e-21	5.69981528616331e-20
FRYL	10.3877564102564	6.65695173267327	-0.641950475855341	3.42306983191732e-12	1.18749138945191e-11
FNDC1	3.21838717948718	5.6204801980198	0.804355499436839	0.0184317431919848	0.022979652240122
ITPR3	20.0867102564103	24.5823636138614	0.291382335681804	0.0630076190351244	0.0742850696885126
NCOR2	12.4774051282051	16.8958297029703	0.437349264253363	4.03798073003622e-05	6.70387208956013e-05
COL27A1	0.483112820512821	1.94602846534653	2.01010076952744	4.05098663385304e-13	1.59974642069876e-12
BCORL1	2.30128974358974	3.05522871287129	0.408837746173655	0.00264320477103922	0.00358374513540068
TNRC6B	2.20243333333333	1.98109925742574	-0.152797185846733	3.8455329991955e-07	7.7530138657882e-07
FBN1	6.47799487179487	6.19730099009901	-0.0639072873190352	0.110222234972599	0.126200968543574
VPS13C	2.99873076923077	3.8507896039604	0.360802300002449	0.496253770936258	0.516573822977154
ASPM	1.05518974358974	3.11442747524752	1.56146453038131	1.15936271209856e-16	7.54513253033743e-16
